第16任總統副總統選舉候選人在南投縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"74,854","103,279","109,163","287,296","2,218","289,514",6,"289,520","117,629","407,149",71.11
　草屯鎮,,,"17,124","21,818","20,997","59,939",444,"60,383",3,"60,386","21,370","81,756",73.86
,玉峰里,0001,184,267,261,712,4,716,0,716,227,943,75.93
,玉峰里,0002,202,271,324,797,7,804,0,804,274,"1,078",74.58
,明正里,0003,271,377,355,"1,003",9,"1,012",1,"1,013",344,"1,357",74.58
,明正里,0004,197,250,243,690,7,697,0,697,317,"1,014",68.74
,明正里,0005,245,230,360,835,8,843,0,843,344,"1,187",71.02
,炎峰里,0006,198,265,263,726,3,729,0,729,262,991,73.56
,炎峰里,0007,197,256,280,733,7,740,0,740,273,"1,013",73.05
,中正里,0008,131,170,166,467,4,471,0,471,149,620,75.97
,和平里,0009,181,323,259,763,7,770,0,770,241,"1,011",76.16
,中山里,0010,224,309,299,832,8,840,0,840,242,"1,082",77.63
,中山里,0011,230,375,273,878,7,885,0,885,299,"1,184",74.75
,敦和里,0012,242,301,341,884,3,887,0,887,344,"1,231",72.06
,敦和里,0013,287,256,318,861,5,866,0,866,329,"1,195",72.47
,敦和里,0014,227,346,310,883,8,891,0,891,309,"1,200",74.25
,敦和里,0015,330,349,356,"1,035",6,"1,041",0,"1,041",365,"1,406",74.04
,敦和里,0016,278,338,310,926,3,929,0,929,286,"1,215",76.46
,山腳里,0017,264,311,367,942,7,949,0,949,289,"1,238",76.66
,山腳里,0018,312,231,362,905,9,914,0,914,326,"1,240",73.71
,山腳里,0019,241,281,354,876,7,883,0,883,276,"1,159",76.19
,山腳里,0020,244,260,348,852,5,857,0,857,317,"1,174",73.00
,山腳里,0021,293,346,468,"1,107",4,"1,111",0,"1,111",350,"1,461",76.04
,山腳里,0022,293,336,385,"1,014",3,"1,017",0,"1,017",309,"1,326",76.70
,新厝里,0023,200,239,270,709,12,721,0,721,224,945,76.30
,新厝里,0024,272,300,429,"1,001",5,"1,006",0,"1,006",322,"1,328",75.75
,新厝里,0025,184,248,253,685,4,689,0,689,206,895,76.98
,上林里,0026,244,270,338,852,5,857,0,857,243,"1,100",77.91
,上林里,0027,198,240,276,714,5,719,1,720,270,990,72.63
,上林里,0028,241,257,306,804,4,808,0,808,197,"1,005",80.40
,碧峰里,0029,198,280,253,731,9,740,0,740,276,"1,016",72.83
,碧峰里,0030,218,305,236,759,5,764,1,765,261,"1,026",74.46
,碧峰里,0031,283,295,263,841,7,848,0,848,321,"1,169",72.54
,碧峰里,0032,297,342,295,934,3,937,0,937,332,"1,269",73.84
,碧洲里,0033,322,345,417,"1,084",9,"1,093",0,"1,093",316,"1,409",77.57
