第16任總統副總統選舉候選人在臺中市各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"513,025","641,622","552,556","1,707,203","12,714","1,719,917",43,"1,719,960","608,936","2,328,896",73.85
　大甲區,,,"13,749","16,754","13,734","44,237",390,"44,627",0,"44,627","16,109","60,736",73.48
,朝陽里,0001,281,374,277,932,4,936,0,936,321,"1,257",74.46
,大甲里,0002,188,302,211,701,4,705,0,705,221,926,76.13
,順天里,0003,136,196,144,476,2,478,0,478,173,651,73.43
,順天里,0004,168,246,163,577,3,580,0,580,227,807,71.87
,孔門里,0005,128,161,172,461,5,466,0,466,252,718,64.90
,平安里,0006,214,277,212,703,9,712,0,712,249,961,74.09
,平安里,0007,218,272,219,709,4,713,0,713,244,957,74.50
,庄美里,0008,216,310,220,746,5,751,0,751,247,998,75.25
,庄美里,0009,211,286,271,768,10,778,0,778,213,991,78.51
,新美里,0010,230,264,224,718,9,727,0,727,274,"1,001",72.63
,新美里,0011,270,358,272,900,8,908,0,908,295,"1,203",75.48
,新美里,0012,242,258,259,759,5,764,0,764,225,989,77.25
,岷山里,0013,198,278,224,700,8,708,0,708,272,980,72.24
,岷山里,0014,247,233,273,753,7,760,0,760,249,"1,009",75.32
,中山里,0015,300,357,322,979,7,986,0,986,328,"1,314",75.04
,中山里,0016,285,262,232,779,5,784,0,784,314,"1,098",71.40
,中山里,0017,284,243,336,863,8,871,0,871,337,"1,208",72.10
,中山里,0018,231,262,239,732,5,737,0,737,234,971,75.90
,南陽里,0019,157,216,191,564,6,570,0,570,207,777,73.36
,薰風里,0020,166,283,222,671,3,674,0,674,188,862,78.19
,義和里,0021,252,261,253,766,5,771,0,771,272,"1,043",73.92
,義和里,0022,280,277,247,804,10,814,0,814,292,"1,106",73.60
,義和里,0023,272,261,223,756,9,765,0,765,204,969,78.95
,武陵里,0024,229,288,309,826,6,832,0,832,291,"1,123",74.09
,文曲里,0025,193,311,202,706,8,714,0,714,326,"1,040",68.65
,武曲里,0026,239,251,224,714,7,721,0,721,223,944,76.38
,武曲里,0027,187,227,171,585,6,591,0,591,190,781,75.67
,文武里,0028,221,260,239,720,4,724,0,724,247,971,74.56
,文武里,0029,255,274,237,766,5,771,0,771,263,"1,034",74.56
,文武里,0030,217,337,291,845,7,852,0,852,252,"1,104",77.17
,文武里,0031,239,266,227,732,13,745,0,745,192,937,79.51
,文武里,0032,249,273,212,734,9,743,0,743,314,"1,057",70.29
,奉化里,0033,274,333,296,903,3,906,0,906,301,"1,207",75.06
,奉化里,0034,214,175,181,570,8,578,0,578,176,754,76.66
,德化里,0035,203,301,133,637,5,642,0,642,214,856,75.00
,德化里,0036,215,226,168,609,6,615,0,615,210,825,74.55
,江南里,0037,318,336,285,939,7,946,0,946,385,"1,331",71.07
