第16任總統副總統選舉候選人在臺東縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"25,590","30,131","54,220","109,941",895,"110,836",3,"110,839","67,889","178,728",62.01
　臺東市,,,"14,134","16,951","25,394","56,479",395,"56,874",3,"56,877","28,079","84,956",66.95
,文化里,0001,118,154,178,450,1,451,0,451,482,933,48.34
,文化里,0002,132,153,211,496,4,500,0,500,222,722,69.25
,中華里,0003,184,250,317,751,6,757,0,757,397,"1,154",65.60
,中華里,0004,148,227,290,665,5,670,0,670,363,"1,033",64.86
,中山里,0005,103,265,222,590,5,595,0,595,264,859,69.27
,中山里,0006,139,233,242,614,5,619,0,619,235,854,72.48
,中正里,0007,158,278,322,758,5,763,0,763,317,"1,080",70.65
,中正里,0008,150,229,251,630,1,631,0,631,297,928,68.00
,成功里,0009,127,175,277,579,2,581,0,581,282,863,67.32
,成功里,0010,137,236,238,611,2,613,0,613,299,912,67.21
,建國里,0011,108,166,239,513,3,516,0,516,322,838,61.58
,建國里,0012,140,211,239,590,7,597,0,597,305,902,66.19
,民族里,0013,129,188,204,521,3,524,0,524,207,731,71.68
,民族里,0014,109,174,240,523,2,525,0,525,213,738,71.14
,民族里,0015,142,217,189,548,0,548,0,548,228,776,70.62
,自強里,0016,172,213,297,682,7,689,0,689,295,984,70.02
,自強里,0017,179,207,342,728,2,730,0,730,283,"1,013",72.06
,自強里,0018,194,217,316,727,3,730,0,730,249,979,74.57
,中心里,0019,130,146,262,538,4,542,0,542,235,777,69.76
,中心里,0020,191,211,309,711,6,717,0,717,343,"1,060",67.64
,中心里,0021,161,182,314,657,2,659,1,660,321,981,67.18
,馬蘭里,0022,172,160,373,705,3,708,0,708,325,"1,033",68.54
,馬蘭里,0023,190,198,351,739,3,742,0,742,322,"1,064",69.74
,民生里,0024,131,188,225,544,2,546,0,546,238,784,69.64
,民生里,0025,125,181,305,611,2,613,0,613,217,830,73.86
,民生里,0026,171,249,326,746,5,751,0,751,292,"1,043",72.00
,寶桑里,0027,192,316,375,883,7,890,0,890,438,"1,328",67.02
,仁和里,0028,147,185,319,651,5,656,0,656,346,"1,002",65.47
,仁和里,0029,177,181,299,657,9,666,0,666,355,"1,021",65.23
,仁和里,0030,163,170,340,673,2,675,0,675,274,949,71.13
,新生里,0031,211,229,326,766,1,767,0,767,318,"1,085",70.69
,新生里,0032,194,239,360,793,5,798,0,798,325,"1,123",71.06
,新生里,0033,189,223,312,724,8,732,0,732,361,"1,093",66.97
,南榮里,0034,137,149,289,575,4,579,0,579,256,835,69.34
,南榮里,0035,155,117,252,524,5,529,0,529,290,819,64.59
,南榮里,0036,169,146,278,593,6,599,0,599,349,948,63.19
,岩灣里,0037,198,207,332,737,10,747,0,747,351,"1,098",68.03
