第16任總統副總統選舉候選人在基隆市各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"58,195","76,079","84,507","218,781","1,584","220,365",5,"220,370","91,837","312,207",70.58
　中正區,,,"8,002","10,241","11,700","29,943",235,"30,178",2,"30,180","14,518","44,698",67.52
,長潭里,0001,65,163,83,311,2,313,0,313,91,404,77.48
,砂子里,0002,202,347,222,771,6,777,0,777,410,"1,187",65.46
,砂子里,0003,247,325,373,945,3,948,0,948,496,"1,444",65.65
,砂子里,0004,281,316,393,990,13,"1,003",0,"1,003",588,"1,591",63.04
,砂子里,0005,326,250,387,963,5,968,0,968,591,"1,559",62.09
,八斗里,0006,192,528,203,923,6,929,0,929,451,"1,380",67.32
,碧砂里,0007,181,337,215,733,12,745,0,745,375,"1,120",66.52
,新富里,0008,281,299,387,967,5,972,0,972,441,"1,413",68.79
,新富里,0009,308,314,426,"1,048",9,"1,057",0,"1,057",497,"1,554",68.02
,新富里,0010,156,124,186,466,4,470,0,470,303,773,60.80
,新富里,0011,277,210,276,763,6,769,0,769,549,"1,318",58.35
,新豐里,0012,177,221,230,628,6,634,0,634,358,992,63.91
,新豐里,0013,255,267,448,970,7,977,0,977,450,"1,427",68.47
,新豐里,0014,236,239,334,809,3,812,0,812,321,"1,133",71.67
,新豐里,0015,193,175,285,653,3,656,0,656,271,927,70.77
,新豐里,0016,178,147,191,516,2,518,0,518,261,779,66.50
,新豐里,0017,324,226,262,812,6,818,0,818,278,"1,096",74.64
,平寮里,0018,196,293,244,733,8,741,0,741,381,"1,122",66.04
,社寮里,0019,167,243,220,630,3,633,0,633,298,931,67.99
,社寮里,0020,115,222,133,470,3,473,0,473,188,661,71.56
,和憲里,0021,146,143,254,543,4,547,0,547,320,867,63.09
,海濱里,0022,179,210,332,721,5,726,0,726,372,"1,098",66.12
,正濱里,0023,144,192,218,554,9,563,0,563,296,859,65.54
,中正里,0024,229,352,396,977,5,982,0,982,528,"1,510",65.03
,中濱里,0025,205,269,349,823,5,828,0,828,371,"1,199",69.06
,建國里,0026,206,188,348,742,4,746,1,747,315,"1,062",70.24
,建國里,0027,163,143,236,542,2,544,0,544,276,820,66.34
,砂灣里,0028,169,266,354,789,12,801,0,801,329,"1,130",70.88
,砂灣里,0029,123,139,246,508,4,512,0,512,300,812,63.05
,真砂里,0030,213,306,358,877,6,883,0,883,358,"1,241",71.15
,正砂里,0031,204,262,320,786,6,792,0,792,318,"1,110",71.35
,正砂里,0032,179,188,352,719,5,724,1,725,312,"1,037",69.82
,中砂里,0033,231,317,349,897,13,910,0,910,711,"1,621",56.14
,入船里,0034,103,185,189,477,3,480,0,480,224,704,68.18
,正船里,0035,199,270,330,799,5,804,0,804,307,"1,111",72.37
