第16任總統副總統選舉候選人在宜蘭縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"70,171","119,517","77,441","267,129","1,925","269,054",4,"269,058","109,968","379,026",70.99
　宜蘭市,,,"15,039","22,647","17,796","55,482",321,"55,803",0,"55,803","21,648","77,451",72.05
,民族里,0001,170,313,264,747,6,753,0,753,304,"1,057",71.24
,民族里,0002,159,245,300,704,3,707,0,707,255,962,73.49
,建軍里,0003,128,235,216,579,3,582,0,582,239,821,70.89
,建軍里,0004,160,207,152,519,2,521,0,521,197,718,72.56
,泰山里,0005,194,239,231,664,3,667,0,667,307,974,68.48
,泰山里,0006,167,218,213,598,3,601,0,601,283,884,67.99
,負郭里,0007,181,274,200,655,5,660,0,660,234,894,73.83
,負郭里,0008,160,316,229,705,4,709,0,709,256,965,73.47
,負郭里,0009,169,272,227,668,6,674,0,674,277,951,70.87
,思源里,0010,250,331,323,904,3,907,0,907,257,"1,164",77.92
,思源里,0011,218,238,252,708,2,710,0,710,264,974,72.90
,思源里,0012,209,255,299,763,7,770,0,770,279,"1,049",73.40
,思源里,0013,212,323,272,807,1,808,0,808,287,"1,095",73.79
,七結里,0014,278,312,386,976,5,981,0,981,367,"1,348",72.77
,七結里,0015,269,397,310,976,11,987,0,987,302,"1,289",76.57
,文化里,0016,152,247,185,584,5,589,0,589,258,847,69.54
,文化里,0017,156,237,235,628,6,634,0,634,275,909,69.75
,文化里,0018,229,315,267,811,6,817,0,817,284,"1,101",74.21
,復興里,0019,137,163,316,616,3,619,0,619,221,840,73.69
,復興里,0020,130,192,196,518,5,523,0,523,216,739,70.77
,復興里,0021,150,277,202,629,3,632,0,632,275,907,69.68
,民權里,0022,135,198,215,548,0,548,0,548,514,"1,062",51.60
,民權里,0023,107,180,210,497,4,501,0,501,208,709,70.66
,神農里,0024,93,176,172,441,1,442,0,442,153,595,74.29
,神農里,0025,140,259,229,628,2,630,0,630,272,902,69.84
,神農里,0026,162,224,236,622,4,626,0,626,265,891,70.26
,大新里,0027,139,236,157,532,2,534,0,534,200,734,72.75
,新民里,0028,100,216,153,469,3,472,0,472,177,649,72.73
,新民里,0029,114,274,134,522,3,525,0,525,219,744,70.56
,進士里,0030,239,353,311,903,2,905,0,905,257,"1,162",77.88
,進士里,0031,192,257,227,676,6,682,0,682,251,933,73.10
,南橋里,0032,229,406,276,911,6,917,0,917,340,"1,257",72.95
,凱旋里,0033,306,426,231,963,4,967,0,967,380,"1,347",71.79
,南津里,0034,206,310,270,786,5,791,0,791,251,"1,042",75.91
,南津里,0035,232,270,347,849,8,857,0,857,303,"1,160",73.88
,建業里,0036,278,395,312,985,4,989,0,989,337,"1,326",74.59
,建業里,0037,172,292,177,641,5,646,0,646,192,838,77.09
