第16任總統副總統選舉候選人在新北市各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"645,105","948,818","864,557","2,458,480","17,597","2,476,077",56,"2,476,133","925,931","3,402,064",72.78
　石門區,,,"1,501","2,452","2,520","6,473",43,"6,516",0,"6,516","3,067","9,583",68.00
,德茂里,0001,180,284,242,706,5,711,0,711,343,"1,054",67.46
,富基里,0002,211,332,324,867,1,868,0,868,396,"1,264",68.67
,老梅里,0003,110,195,245,550,5,555,0,555,278,833,66.63
,老梅里,0004,160,296,240,696,10,706,0,706,410,"1,116",63.26
,山溪里,0005,146,194,236,576,1,577,0,577,249,826,69.85
,石門里,0006,229,358,421,"1,008",8,"1,016",0,"1,016",424,"1,440",70.56
,尖鹿里,0007,224,346,368,938,6,944,0,944,424,"1,368",69.01
,乾華里,0008,35,70,70,175,0,175,0,175,95,270,64.81
,茂林里,0009,64,164,146,374,2,376,0,376,157,533,70.54
,草里里,0010,142,213,228,583,5,588,0,588,291,879,66.89
　三芝區,,,"3,093","4,876","5,199","13,168",126,"13,294",0,"13,294","6,249","19,543",68.02
,八賢里,0011,44,95,65,204,1,205,0,205,98,303,67.66
,埔頭里,0012,227,279,310,816,9,825,0,825,365,"1,190",69.33
,埔頭里,0013,210,293,352,855,5,860,0,860,347,"1,207",71.25
,埔頭里,0014,188,285,286,759,3,762,0,762,446,"1,208",63.08
,埔頭里,0015,197,237,263,697,4,701,0,701,346,"1,047",66.95
,古庄里,0016,148,283,303,734,9,743,0,743,399,"1,142",65.06
,新庄里,0017,96,190,235,521,7,528,0,528,226,754,70.03
,埔坪里,0018,202,300,334,836,6,842,0,842,437,"1,279",65.83
,埔坪里,0019,210,320,311,841,8,849,0,849,458,"1,307",64.96
,埔坪里,0020,204,260,314,778,13,791,0,791,373,"1,164",67.96
,埔坪里,0021,227,267,304,798,6,804,0,804,401,"1,205",66.72
,埔坪里,0022,188,241,308,737,7,744,0,744,388,"1,132",65.72
,茂長里,0023,84,181,181,446,3,449,0,449,145,594,75.59
,橫山里,0024,49,120,165,334,0,334,0,334,131,465,71.83
,錫板里,0025,83,195,169,447,2,449,0,449,167,616,72.89
,後厝里,0026,109,213,238,560,10,570,0,570,249,819,69.60
,後厝里,0027,164,256,373,793,6,799,0,799,405,"1,204",66.36
,福德里,0028,115,187,198,500,9,509,0,509,226,735,69.25
,圓山里,0029,80,146,127,353,2,355,0,355,143,498,71.29
,店子里,0030,96,174,107,377,6,383,0,383,156,539,71.06
,興華里,0031,172,354,256,782,10,792,0,792,343,"1,135",69.78
　淡水區,,,"30,223","42,172","43,837","116,232",807,"117,039",2,"117,041","47,982","165,023",70.92
,中和里,0032,84,181,135,400,4,404,0,404,125,529,76.37
