第16任總統副總統選舉候選人在桃園市各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"413,528","476,441","460,823","1,350,792","8,897","1,359,689",41,"1,359,730","522,862","1,882,592",72.22
　蘆竹區,,,"29,127","38,760","29,192","97,079",608,"97,687",1,"97,688","36,881","134,569",72.59
,新興里,0001,297,583,260,"1,140",4,"1,144",0,"1,144",369,"1,513",75.61
,新興里,0002,275,494,226,995,3,998,0,998,356,"1,354",73.71
,中福里,0003,314,503,221,"1,038",7,"1,045",0,"1,045",419,"1,464",71.38
,中福里,0004,293,494,213,"1,000",2,"1,002",0,"1,002",342,"1,344",74.55
,中福里,0005,247,420,223,890,10,900,0,900,319,"1,219",73.83
,上興里,0006,376,543,413,"1,332",11,"1,343",0,"1,343",438,"1,781",75.41
,上興里,0007,444,453,364,"1,261",3,"1,264",0,"1,264",435,"1,699",74.40
,中興里,0008,351,427,350,"1,128",5,"1,133",0,"1,133",351,"1,484",76.35
,中興里,0009,327,322,199,848,3,851,0,851,355,"1,206",70.56
,中興里,0010,284,271,230,785,3,788,0,788,351,"1,139",69.18
,中興里,0011,371,377,305,"1,053",9,"1,062",0,"1,062",324,"1,386",76.62
,新莊里,0012,485,533,303,"1,321",10,"1,331",0,"1,331",435,"1,766",75.37
,新莊里,0013,244,396,223,863,7,870,0,870,303,"1,173",74.17
,新莊里,0014,220,372,192,784,3,787,0,787,299,"1,086",72.47
,新莊里,0015,208,339,243,790,7,797,0,797,259,"1,056",75.47
,上竹里,0016,263,341,226,830,3,833,0,833,327,"1,160",71.81
,上竹里,0017,246,332,260,838,5,843,0,843,282,"1,125",74.93
,上竹里,0018,276,358,253,887,1,888,0,888,315,"1,203",73.82
,宏竹里,0019,264,546,274,"1,084",5,"1,089",0,"1,089",404,"1,493",72.94
,宏竹里,0020,301,474,297,"1,072",5,"1,077",0,"1,077",386,"1,463",73.62
,大竹里,0021,373,405,276,"1,054",3,"1,057",0,"1,057",346,"1,403",75.34
,大竹里,0022,337,365,291,993,7,"1,000",0,"1,000",291,"1,291",77.46
,大竹里,0023,328,336,331,995,4,999,0,999,316,"1,315",75.97
,大竹里,0024,296,421,324,"1,041",4,"1,045",0,"1,045",351,"1,396",74.86
,富竹里,0025,293,606,183,"1,082",3,"1,085",0,"1,085",349,"1,434",75.66
,蘆竹里,0026,205,433,183,821,4,825,0,825,301,"1,126",73.27
,蘆竹里,0027,291,493,239,"1,023",4,"1,027",0,"1,027",324,"1,351",76.02
,蘆竹里,0028,267,474,265,"1,006",7,"1,013",0,"1,013",390,"1,403",72.20
,南興里,0029,233,312,298,843,8,851,0,851,348,"1,199",70.98
,南興里,0030,267,352,371,990,6,996,0,996,345,"1,341",74.27
