第16任總統副總統選舉候選人在澎湖縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"12,202","19,023","18,052","49,277",473,"49,750",0,"49,750","42,892","92,642",53.70
　馬公市,,,"8,163","11,299","11,784","31,246",267,"31,513",0,"31,513","22,450","53,963",58.40
,復興里,0001,88,80,76,244,2,246,0,246,200,446,55.16
,長安里,0002,77,117,128,322,1,323,0,323,191,514,62.84
,中央里,0003,46,142,116,304,3,307,0,307,215,522,58.81
,啟明里,0004,106,245,171,522,11,533,0,533,314,847,62.93
,重慶里,0005,103,282,204,589,3,592,0,592,302,894,66.22
,中興里,0006,100,122,205,427,2,429,0,429,329,758,56.60
,光復里,0007,132,228,171,531,1,532,0,532,380,912,58.33
,光復里,0008,112,196,253,561,4,565,0,565,396,961,58.79
,光明里,0009,178,206,351,735,6,741,0,741,521,"1,262",58.72
,光榮里,0010,171,163,430,764,2,766,0,766,515,"1,281",59.80
,光榮里,0011,188,259,413,860,9,869,0,869,478,"1,347",64.51
,光榮里,0012,177,228,362,767,8,775,0,775,526,"1,301",59.57
,朝陽里,0013,165,256,272,693,5,698,0,698,506,"1,204",57.97
,朝陽里,0014,168,255,229,652,5,657,0,657,502,"1,159",56.69
,朝陽里,0015,202,320,286,808,2,810,0,810,544,"1,354",59.82
,朝陽里,0016,197,241,345,783,3,786,0,786,565,"1,351",58.18
,陽明里,0017,141,252,256,649,9,658,0,658,504,"1,162",56.63
,陽明里,0018,150,298,279,727,6,733,0,733,497,"1,230",59.59
,重光里,0019,212,314,325,851,8,859,0,859,591,"1,450",59.24
,西衛里,0020,157,240,266,663,6,669,0,669,477,"1,146",58.38
,西衛里,0021,222,285,363,870,10,880,0,880,502,"1,382",63.68
,西衛里,0022,316,304,420,"1,040",8,"1,048",0,"1,048",644,"1,692",61.94
,西衛里,0023,479,172,186,837,10,847,0,847,575,"1,422",59.56
,西文里,0024,125,200,226,551,3,554,0,554,411,965,57.41
,西文里,0025,146,204,278,628,1,629,0,629,409,"1,038",60.60
,西文里,0026,199,203,217,619,4,623,0,623,505,"1,128",55.23
,東文里,0027,147,196,278,621,6,627,0,627,421,"1,048",59.83
,東文里,0028,171,218,259,648,8,656,0,656,468,"1,124",58.36
,東文里,0029,222,223,246,691,5,696,0,696,446,"1,142",60.95
,案山里,0030,118,181,164,463,3,466,0,466,482,948,49.16
,案山里,0031,103,181,185,469,5,474,0,474,368,842,56.29
,光華里,0032,272,147,182,601,5,606,0,606,472,"1,078",56.22
,前寮里,0033,183,237,190,610,5,615,0,615,373,988,62.25
,石泉里,0034,150,189,240,579,5,584,0,584,365,949,61.54
,石泉里,0035,169,179,240,588,4,592,0,592,338,930,63.66
,石泉里,0036,127,142,192,461,4,465,0,465,368,833,55.82
