第16任總統副總統選舉候選人在花蓮縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"43,047","43,157","87,953","174,157","1,861","176,018",12,"176,030","91,794","267,824",65.72
　花蓮市,,,"14,116","15,020","25,996","55,132",525,"55,657",3,"55,660","25,125","80,785",68.90
,民德里,0001,142,139,242,523,7,530,0,530,178,708,74.86
,民德里,0002,137,164,215,516,1,517,0,517,204,721,71.71
,民勤里,0003,192,160,334,686,6,692,0,692,263,955,72.46
,民勤里,0004,156,135,303,594,15,609,0,609,312,921,66.12
,民勤里,0005,218,168,346,732,8,740,0,740,259,999,74.07
,民意里,0006,52,51,158,261,3,264,0,264,165,429,61.54
,民意里,0007,116,119,303,538,9,547,0,547,249,796,68.72
,民意里,0008,79,40,326,445,3,448,0,448,225,673,66.57
,民心里,0009,159,163,291,613,6,619,0,619,313,932,66.42
,民享里,0010,184,130,351,665,6,671,0,671,317,988,67.91
,民享里,0011,160,161,334,655,7,662,0,662,306,968,68.39
,民享里,0012,198,156,361,715,6,721,1,722,297,"1,019",70.76
,民孝里,0013,191,184,334,709,3,712,0,712,331,"1,043",68.26
,民孝里,0014,166,125,388,679,5,684,0,684,322,"1,006",67.99
,民孝里,0015,178,159,493,830,12,842,0,842,338,"1,180",71.36
,民運里,0016,172,204,356,732,7,739,0,739,348,"1,087",67.99
,民運里,0017,140,147,289,576,6,582,0,582,268,850,68.47
,民政里,0018,165,157,288,610,2,612,0,612,271,883,69.31
,民政里,0019,129,149,338,616,4,620,0,620,238,858,72.26
,民政里,0020,156,165,288,609,8,617,0,617,268,885,69.72
,民政里,0021,189,158,344,691,4,695,0,695,249,944,73.62
,民立里,0022,140,143,292,575,3,578,0,578,229,807,71.62
,民立里,0023,88,123,188,399,1,400,0,400,326,726,55.10
,民樂里,0024,110,112,199,421,6,427,0,427,184,611,69.89
,民有里,0025,95,122,160,377,3,380,0,380,165,545,69.72
,民主里,0026,82,90,178,350,3,353,0,353,183,536,65.86
,民族里,0027,66,79,115,260,4,264,0,264,118,382,69.11
,民生里,0028,144,249,275,668,11,679,0,679,322,"1,001",67.83
,民權里,0029,80,63,132,275,1,276,0,276,116,392,70.41
,主商里,0030,102,142,129,373,5,378,0,378,127,505,74.85
,主勤里,0031,107,164,229,500,5,505,0,505,230,735,68.71
,主工里,0032,86,115,153,354,3,357,0,357,126,483,73.91
,主信里,0033,136,137,183,456,4,460,0,460,165,625,73.60
,主義里,0034,71,87,152,310,3,313,0,313,115,428,73.13
,主睦里,0035,101,115,144,360,3,363,0,363,171,534,67.98
,主計里,0036,118,143,242,503,10,513,0,513,263,776,66.11
,主和里,0037,143,156,259,558,5,563,0,563,275,838,67.18
,主和里,0038,153,186,283,622,7,629,0,629,351,980,64.18
