第16任總統副總統選舉候選人在金門縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"13,038","4,569","28,005","45,612",369,"45,981",0,"45,981","80,441","126,422",36.37
　金城鎮,,,"3,823","1,425","8,895","14,143",95,"14,238",0,"14,238","23,477","37,715",37.75
,東門里,0001,147,43,292,482,4,486,0,486,756,"1,242",39.13
,東門里,0002,138,38,247,423,4,427,0,427,625,"1,052",40.59
,東門里,0003,114,45,284,443,6,449,0,449,714,"1,163",38.61
,東門里,0004,154,52,337,543,5,548,0,548,742,"1,290",42.48
,南門里,0005,142,60,323,525,4,529,0,529,787,"1,316",40.20
,南門里,0006,156,56,340,552,4,556,0,556,943,"1,499",37.09
,南門里,0007,95,37,311,443,2,445,0,445,777,"1,222",36.42
,南門里,0008,121,51,363,535,1,536,0,536,700,"1,236",43.37
,西門里,0009,152,54,301,507,5,512,0,512,848,"1,360",37.65
,西門里,0010,145,43,321,509,1,510,0,510,822,"1,332",38.29
,西門里,0011,124,37,311,472,2,474,0,474,806,"1,280",37.03
,西門里,0012,107,51,344,502,7,509,0,509,831,"1,340",37.99
,西門里,0013,125,49,322,496,1,497,0,497,776,"1,273",39.04
,西門里,0014,186,60,370,616,4,620,0,620,771,"1,391",44.57
,西門里,0015,131,55,387,573,1,574,0,574,888,"1,462",39.26
,北門里,0016,130,59,344,533,4,537,0,537,814,"1,351",39.75
,北門里,0017,118,35,318,471,6,477,0,477,854,"1,331",35.84
,北門里,0018,137,54,306,497,2,499,0,499,873,"1,372",36.37
,賢庵里,0019,188,47,355,590,1,591,0,591,"1,066","1,657",35.67
,賢庵里,0020,169,57,341,567,5,572,0,572,"1,004","1,576",36.29
,賢庵里,0021,196,89,345,630,3,633,0,633,"1,047","1,680",37.68
,金水里,0022,109,46,288,443,3,446,0,446,760,"1,206",36.98
,金水里,0023,90,42,243,375,2,377,0,377,664,"1,041",36.22
,古城里,0024,124,60,284,468,2,470,0,470,904,"1,374",34.21
,古城里,0025,124,50,262,436,6,442,0,442,785,"1,227",36.02
,古城里,0026,106,46,324,476,5,481,0,481,994,"1,475",32.61
,珠沙里,0027,93,40,295,428,4,432,0,432,"1,036","1,468",29.43
,珠沙里,0028,202,69,337,608,1,609,0,609,890,"1,499",40.63
　金寧鄉,,,"3,723","1,303","6,190","11,216",108,"11,324",0,"11,324","19,093","30,417",37.23
,古寧村,0029,124,46,371,541,4,545,0,545,"1,230","1,775",30.70
,古寧村,0030,109,43,291,443,11,454,0,454,"1,117","1,571",28.90
,安美村,0031,225,59,245,529,4,533,0,533,984,"1,517",35.14
,安美村,0032,107,54,199,360,5,365,0,365,722,"1,087",33.58
,安美村,0033,107,47,216,370,4,374,0,374,664,"1,038",36.03
