第16任總統副總統選舉候選人在雲林縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"99,470","169,516","111,633","380,619","3,418","384,037",2,"384,039","176,257","560,296",68.54
　麥寮鄉,,,"8,235","8,720","7,477","24,432",250,"24,682",1,"24,683","15,118","39,801",62.01
,麥豐村,0001,219,200,226,645,8,653,0,653,375,"1,028",63.52
,麥豐村,0002,213,197,211,621,7,628,0,628,377,"1,005",62.49
,麥豐村,0003,215,239,207,661,5,666,0,666,320,986,67.55
,麥豐村,0004,267,278,256,801,10,811,0,811,454,"1,265",64.11
,麥豐村,0005,286,267,177,730,6,736,0,736,329,"1,065",69.11
,麥豐村,0006,251,180,201,632,6,638,0,638,404,"1,042",61.23
,麥豐村,0007,244,225,209,678,10,688,0,688,446,"1,134",60.67
,麥津村,0008,229,248,240,717,5,722,0,722,416,"1,138",63.44
,麥津村,0009,192,167,213,572,6,578,0,578,374,952,60.71
,麥津村,0010,278,243,231,752,4,756,0,756,431,"1,187",63.69
,麥津村,0011,207,187,194,588,9,597,0,597,399,996,59.94
,瓦磘村,0012,112,238,83,433,4,437,0,437,291,728,60.03
,瓦磘村,0013,225,324,211,760,11,771,0,771,484,"1,255",61.43
,興華村,0014,238,319,221,778,4,782,0,782,485,"1,267",61.72
,興華村,0015,209,245,183,637,6,643,0,643,402,"1,045",61.53
,興華村,0016,157,166,116,439,9,448,0,448,246,694,64.55
,海豐村,0017,286,201,220,707,9,716,0,716,513,"1,229",58.26
,海豐村,0018,178,228,185,591,5,596,0,596,400,996,59.84
,後安村,0019,201,186,222,609,4,613,0,613,483,"1,096",55.93
,後安村,0020,165,114,212,491,5,496,0,496,444,940,52.77
,後安村,0021,203,164,229,596,7,603,0,603,400,"1,003",60.12
,中興村,0022,128,183,124,435,5,440,0,440,275,715,61.54
,中興村,0023,211,154,172,537,8,545,0,545,301,846,64.42
,三盛村,0024,224,264,176,664,9,673,0,673,420,"1,093",61.57
,三盛村,0025,280,282,162,724,10,734,0,734,424,"1,158",63.39
,崙後村,0026,245,273,306,824,4,828,0,828,562,"1,390",59.57
,崙後村,0027,269,296,270,835,9,844,0,844,541,"1,385",60.94
,橋頭村,0028,256,275,219,750,5,755,0,755,454,"1,209",62.45
,橋頭村,0029,195,232,215,642,5,647,0,647,332,979,66.09
,橋頭村,0030,228,213,146,587,7,594,0,594,323,917,64.78
,橋頭村,0031,186,226,205,617,5,622,0,622,333,955,65.13
,新吉村,0032,247,274,216,737,8,745,0,745,456,"1,201",62.03
,施厝村,0033,274,285,208,767,7,774,0,774,462,"1,236",62.62
,施厝村,0034,280,297,203,780,7,787,0,787,510,"1,297",60.68
,施厝村,0035,208,281,194,683,11,694,0,694,439,"1,133",61.25
